IQA,Accuracy,Count,Num_Accs
0.03,1.0,39,39
0.04,0.9655172413793104,29,28
0.05,0.96875,32,31
0.06,0.9649122807017544,57,55
0.07,0.975609756097561,41,40
0.08,1.0,27,27
0.09,1.0,30,30
0.1,1.0,25,25
0.11,0.9565217391304348,46,44
0.13,0.9523809523809523,21,20
0.14,1.0,15,15
0.15,0.9722222222222222,36,35
0.16,1.0,15,15
0.17,1.0,32,32
0.18,0.9791666666666666,48,47
0.19,1.0,21,21
0.2,0.9166666666666666,24,22
0.22,0.9354838709677419,31,29
0.24,0.9333333333333333,15,14
0.25,1.0,21,21
0.26,0.9333333333333333,30,28
0.27,0.9333333333333333,15,14
0.28,0.9629629629629629,27,26
0.29,0.9523809523809523,21,20
0.3,1.0,15,15
0.31,1.0,15,15
0.34,1.0,12,12
0.35,1.0,24,24
0.36,0.9166666666666666,12,11
0.37,1.0,32,32
0.39,1.0,18,18
0.4,1.0,33,33
0.41,1.0,19,19
0.43,0.8888888888888888,27,24
0.45,1.0,21,21
0.46,1.0,19,19
0.47,1.0,16,16
0.48,1.0,26,26
0.49,1.0,18,18
0.51,0.9411764705882353,17,16
0.52,1.0,15,15
0.53,1.0,24,24
0.54,0.9666666666666667,30,29
0.55,1.0,18,18
0.56,1.0,18,18
0.57,1.0,36,36
0.58,1.0,21,21
0.59,0.9411764705882353,17,16
0.6,1.0,21,21
0.61,0.9545454545454546,44,42
0.62,1.0,18,18
0.63,0.9166666666666666,48,44
0.64,1.0,12,12
0.65,0.75,12,9
0.66,0.8974358974358975,39,35
0.67,1.0,51,51
0.68,0.8823529411764706,17,15
0.69,1.0,39,39
0.7,1.0,26,26
0.71,0.9722222222222222,36,35
0.72,0.8809523809523809,42,37
0.73,0.9444444444444444,36,34
0.74,0.9166666666666666,36,33
0.75,0.8666666666666667,60,52
0.76,0.9565217391304348,23,22
0.77,1.0,35,35
0.78,0.9866666666666667,75,74
0.79,1.0,54,54
0.8,0.8695652173913043,69,60
0.81,0.9411764705882353,51,48
0.82,0.9487179487179487,78,74
0.83,0.6857142857142857,35,24
0.84,0.9193548387096774,62,57
0.85,0.9111111111111111,45,41
0.86,0.8301886792452831,53,44
0.87,0.8611111111111112,36,31
0.88,0.925,80,74
0.89,0.86,100,86
0.9,0.7777777777777778,18,14
0.91,0.8666666666666667,30,26
0.92,0.5769230769230769,26,15
0.93,1.0,15,15
0.95,0.9166666666666666,12,11
0.97,1.0,12,12
