IQA,Accuracy,Count,Num_Accs
0.06,0.9615384615384616,26,25
0.07,1.0,24,24
0.08,1.0,26,26
0.09,1.0,26,26
0.1,1.0,33,33
0.11,1.0,27,27
0.12,1.0,33,33
0.13,1.0,41,41
0.14,0.967741935483871,62,60
0.15,1.0,18,18
0.16,1.0,39,39
0.17,1.0,38,38
0.18,1.0,24,24
0.19,0.9841269841269841,63,62
0.2,1.0,48,48
0.21,0.9767441860465116,43,42
0.22,1.0,33,33
0.23,0.9861111111111112,72,71
0.24,1.0,48,48
0.25,1.0,36,36
0.26,1.0,51,51
0.27,1.0,15,15
0.28,0.9361702127659575,47,44
0.29,1.0,66,66
0.3,0.9565217391304348,69,66
0.31,1.0,41,41
0.32,0.9375,48,45
0.33,1.0,26,26
0.34,0.9375,48,45
0.35,1.0,38,38
0.36,0.9655172413793104,29,28
0.37,1.0,22,22
0.38,1.0,23,23
0.39,1.0,20,20
0.4,0.9759036144578314,83,81
0.41,1.0,44,44
0.42,1.0,15,15
0.43,1.0,24,24
0.44,1.0,33,33
0.45,1.0,27,27
0.46,0.9166666666666666,36,33
0.47,0.8148148148148148,27,22
0.49,0.9411764705882353,51,48
0.5,1.0,18,18
0.51,1.0,14,14
0.52,1.0,28,28
0.53,0.9523809523809523,21,20
0.54,1.0,20,20
0.55,0.9722222222222222,36,35
0.56,0.8125,32,26
0.57,0.8125,32,26
0.58,0.9259259259259259,27,25
0.59,1.0,15,15
0.6,0.6666666666666666,18,12
0.61,0.9444444444444444,18,17
0.62,1.0,26,26
0.63,0.9583333333333334,24,23
0.64,0.75,12,9
0.65,0.9375,32,30
0.67,1.0,15,15
0.68,0.875,32,28
0.7,0.8055555555555556,36,29
0.75,0.875,24,21
0.77,0.5833333333333334,12,7
0.78,1.0,17,17
0.79,0.5833333333333334,12,7
0.82,1.0,12,12
0.83,0.75,12,9
0.85,1.0,17,17
0.86,1.0,23,23
0.88,0.75,24,18
0.93,0.85,20,17
0.95,1.0,21,21
0.96,0.9333333333333333,15,14
0.97,0.8947368421052632,19,17
0.98,1.0,21,21
0.99,1.0,24,24
