IQA,Accuracy,Count,Num_Accs
0.11,0.9444444444444444,18,17
0.15,1.0,16,16
0.17,1.0,15,15
0.18,1.0,24,24
0.19,1.0,15,15
0.2,1.0,21,21
0.23,0.9655172413793104,29,28
0.25,0.9523809523809523,21,20
0.26,1.0,18,18
0.27,0.9666666666666667,30,29
0.29,1.0,12,12
0.3,1.0,57,57
0.31,1.0,24,24
0.33,0.9583333333333334,24,23
0.34,0.9743589743589743,39,38
0.35,0.9736842105263158,38,37
0.36,0.975609756097561,41,40
0.37,1.0,23,23
0.38,1.0,30,30
0.39,1.0,26,26
0.4,1.0,20,20
0.41,0.96875,32,31
0.42,0.9166666666666666,24,22
0.43,0.926829268292683,41,38
0.44,0.9393939393939394,33,31
0.45,0.96,50,48
0.46,0.9666666666666667,30,29
0.47,0.9230769230769231,39,36
0.48,1.0,21,21
0.49,0.975609756097561,41,40
0.5,1.0,33,33
0.51,0.9523809523809523,42,40
0.52,1.0,18,18
0.53,1.0,48,48
0.54,1.0,59,59
0.55,0.9393939393939394,33,31
0.56,0.9433962264150944,53,50
0.57,0.8666666666666667,30,26
0.58,0.9629629629629629,54,52
0.59,1.0,71,71
0.6,1.0,33,33
0.61,0.948051948051948,77,73
0.62,0.8275862068965517,29,24
0.63,0.9230769230769231,39,36
0.64,0.9411764705882353,68,64
0.65,0.8571428571428571,21,18
0.66,0.9655172413793104,58,56
0.67,0.7674418604651163,43,33
0.68,0.9,30,27
0.69,0.6833333333333333,60,41
0.7,0.9375,48,45
0.71,0.7777777777777778,27,21
0.72,0.9183673469387755,49,45
0.73,0.875,24,21
0.74,0.8620689655172413,29,25
0.75,1.0,23,23
0.76,0.9615384615384616,26,25
0.77,0.9411764705882353,34,32
0.78,0.9491525423728814,59,56
0.79,0.9583333333333334,48,46
0.8,0.7307692307692307,26,19
0.81,0.8,45,36
0.82,0.918918918918919,37,34
0.83,0.625,24,15
0.84,1.0,18,18
0.85,1.0,21,21
0.86,0.6333333333333333,30,19
0.87,0.5681818181818182,44,25
0.88,0.875,24,21
0.89,0.6666666666666666,18,12
0.9,0.75,36,27
0.91,1.0,32,32
0.92,0.896551724137931,29,26
0.93,0.8275862068965517,29,24
0.94,1.0,18,18
0.95,0.7931034482758621,29,23
0.96,0.3333333333333333,18,6
0.97,1.0,15,15
