IQA,Preserved,Count,Num_Pre
0.03,1.0,18,18
0.04,0.9523809523809523,21,20
0.05,0.9411764705882353,17,16
0.06,1.0,18,18
0.07,0.9565217391304348,23,22
0.08,1.0,12,12
0.09,1.0,24,24
0.11,0.95,40,38
0.13,0.9444444444444444,18,17
0.14,1.0,15,15
0.15,0.9722222222222222,36,35
0.16,1.0,12,12
0.18,1.0,30,30
0.2,0.8666666666666667,15,13
0.26,0.9629629629629629,27,26
0.35,1.0,15,15
0.37,1.0,23,23
0.39,1.0,12,12
0.4,1.0,27,27
0.41,1.0,12,12
0.43,0.9523809523809523,21,20
0.47,1.0,13,13
0.48,1.0,17,17
0.52,1.0,15,15
0.53,1.0,21,21
0.54,0.9166666666666666,12,11
0.57,0.6666666666666666,18,12
0.58,1.0,12,12
0.59,0.9285714285714286,14,13
0.6,1.0,12,12
0.61,1.0,32,32
0.62,1.0,12,12
0.63,0.8095238095238095,21,17
0.66,1.0,21,21
0.67,1.0,33,33
0.69,1.0,24,24
0.7,1.0,17,17
0.71,0.9444444444444444,18,17
0.72,0.8076923076923077,26,21
0.73,0.9166666666666666,24,22
0.74,1.0,24,24
0.75,0.875,24,21
0.76,0.95,20,19
0.77,1.0,18,18
0.78,1.0,48,48
0.79,1.0,36,36
0.8,0.9375,48,45
0.81,0.9,30,27
0.82,1.0,39,39
0.83,0.7083333333333334,24,17
0.84,0.8571428571428571,35,30
0.85,0.9166666666666666,24,22
0.86,0.9629629629629629,27,26
0.88,0.9019607843137255,51,46
0.89,0.8227848101265823,79,65
0.9,0.9333333333333333,15,14
0.91,1.0,12,12
0.97,1.0,12,12
