IQA,Preserved,Count,Num_Pre
0.06,0.9333333333333333,15,14
0.07,1.0,18,18
0.08,1.0,20,20
0.09,1.0,21,21
0.1,1.0,12,12
0.11,1.0,18,18
0.12,1.0,18,18
0.13,1.0,30,30
0.14,1.0,38,38
0.16,1.0,24,24
0.17,1.0,26,26
0.19,0.9777777777777777,45,44
0.2,1.0,39,39
0.21,0.9642857142857143,28,27
0.23,1.0,36,36
0.24,1.0,33,33
0.25,1.0,24,24
0.26,0.9230769230769231,39,36
0.28,0.9736842105263158,38,37
0.29,1.0,39,39
0.3,0.9411764705882353,51,48
0.31,1.0,17,17
0.32,1.0,18,18
0.33,1.0,20,20
0.34,1.0,33,33
0.35,1.0,32,32
0.36,0.95,20,19
0.38,1.0,14,14
0.39,1.0,15,15
0.4,1.0,54,54
0.41,1.0,36,36
0.44,1.0,15,15
0.45,1.0,12,12
0.46,0.9166666666666666,36,33
0.47,0.8333333333333334,24,20
0.49,0.9743589743589743,39,38
0.5,1.0,12,12
0.51,1.0,14,14
0.54,1.0,11,11
0.56,0.7391304347826086,23,17
0.57,1.0,23,23
0.58,0.9166666666666666,24,22
0.62,1.0,23,23
0.63,1.0,18,18
0.65,0.9230769230769231,26,24
0.67,1.0,12,12
0.68,0.8181818181818182,11,9
0.7,0.5333333333333333,15,8
0.75,0.9333333333333333,15,14
0.85,1.0,14,14
0.86,1.0,20,20
0.88,0.7142857142857143,21,15
0.93,0.8,15,12
0.95,1.0,15,15
0.96,1.0,12,12
0.97,0.8947368421052632,19,17
0.98,1.0,18,18
0.99,1.0,15,15
