IQA,Preserved,Count,Num_Pre
0.11,1.0,12,12
0.15,1.0,13,13
0.18,1.0,18,18
0.2,1.0,21,21
0.23,0.9615384615384616,26,25
0.25,0.9166666666666666,12,11
0.26,1.0,18,18
0.27,0.9629629629629629,27,26
0.3,1.0,36,36
0.31,1.0,15,15
0.33,0.9444444444444444,18,17
0.34,1.0,24,24
0.35,0.8857142857142857,35,31
0.36,0.9583333333333334,24,23
0.37,1.0,14,14
0.38,1.0,15,15
0.39,1.0,11,11
0.41,0.9523809523809523,21,20
0.43,0.7692307692307693,26,20
0.46,0.9523809523809523,21,20
0.47,0.75,12,9
0.48,1.0,12,12
0.49,1.0,12,12
0.5,1.0,15,15
0.51,0.9629629629629629,27,26
0.53,1.0,30,30
0.54,1.0,38,38
0.55,0.9166666666666666,12,11
0.56,0.9722222222222222,36,35
0.57,0.8333333333333334,24,20
0.58,0.972972972972973,37,36
0.59,1.0,41,41
0.6,1.0,15,15
0.61,0.9787234042553191,47,46
0.62,0.9,20,18
0.63,0.9333333333333333,15,14
0.64,0.9761904761904762,42,41
0.66,0.9130434782608695,23,21
0.67,0.7058823529411765,17,12
0.68,1.0,12,12
0.69,0.6470588235294118,51,33
0.7,0.8888888888888888,27,24
0.71,0.7142857142857143,21,15
0.72,0.9285714285714286,28,26
0.74,0.8333333333333334,12,10
0.75,1.0,17,17
0.76,0.9411764705882353,17,16
0.77,0.92,25,23
0.78,0.875,24,21
0.79,0.8484848484848485,33,28
0.8,1.0,12,12
0.81,0.625,24,15
0.82,0.7272727272727273,11,8
0.84,1.0,15,15
0.85,1.0,15,15
0.86,0.5,12,6
0.87,0.5652173913043478,23,13
0.88,0.75,12,9
0.9,0.7142857142857143,21,15
0.91,1.0,23,23
0.92,1.0,20,20
0.93,0.8181818181818182,11,9
0.95,0.6666666666666666,18,12
