IQA,Preserved,Count,Num_Pre
0.05,0.8333333333333334,18,15
0.06,0.92,25,23
0.07,1.0,20,20
0.08,1.0,18,18
0.09,0.9411764705882353,17,16
0.11,1.0,45,45
0.12,1.0,35,35
0.13,0.9523809523809523,21,20
0.14,1.0,12,12
0.15,1.0,21,21
0.16,1.0,17,17
0.18,0.8723404255319149,47,41
0.19,1.0,15,15
0.2,0.9473684210526315,38,36
0.21,1.0,17,17
0.22,0.9791666666666666,48,47
0.23,1.0,18,18
0.24,1.0,12,12
0.25,0.8275862068965517,29,24
0.26,0.9743589743589743,39,38
0.27,0.9245283018867925,53,49
0.28,0.9230769230769231,39,36
0.29,1.0,39,39
0.3,0.8947368421052632,57,51
0.31,1.0,39,39
0.32,1.0,38,38
0.33,1.0,12,12
0.34,0.8571428571428571,28,24
0.35,1.0,32,32
0.36,0.8333333333333334,18,15
0.37,1.0,23,23
0.38,0.8571428571428571,14,12
0.39,1.0,15,15
0.4,1.0,32,32
0.42,1.0,37,37
0.43,1.0,24,24
0.44,1.0,11,11
0.45,1.0,11,11
0.46,1.0,36,36
0.47,1.0,39,39
0.48,0.9166666666666666,36,33
0.49,1.0,15,15
0.5,0.8846153846153846,26,23
0.51,0.9259259259259259,27,25
0.52,0.8571428571428571,14,12
0.53,0.9090909090909091,11,10
0.54,0.9411764705882353,17,16
0.56,0.5714285714285714,21,12
0.57,1.0,12,12
0.6,0.7777777777777778,36,28
0.62,0.7222222222222222,18,13
0.65,0.8095238095238095,21,17
0.67,1.0,12,12
0.7,0.7,30,21
0.73,0.8333333333333334,18,15
0.77,1.0,11,11
0.88,1.0,14,14
