IQA,Accuracy,Count,Num_Accs
0.05,0.96,25,24
0.12,1.0,15,15
0.13,1.0,50,50
0.14,1.0,15,15
0.15,1.0,15,15
0.16,0.95,20,19
0.17,0.95,20,19
0.18,0.96,25,24
0.19,1.0,20,20
0.2,1.0,30,30
0.21,0.9777777777777777,45,44
0.22,1.0,20,20
0.23,1.0,20,20
0.24,1.0,20,20
0.25,0.9555555555555556,45,43
0.26,1.0,30,30
0.27,1.0,20,20
0.28,1.0,20,20
0.29,1.0,50,50
0.3,0.9733333333333334,75,73
0.31,1.0,29,29
0.32,1.0,15,15
0.33,0.95,40,38
0.34,1.0,35,35
0.35,0.96,75,72
0.36,1.0,80,80
0.37,0.9741935483870968,155,151
0.38,1.0,55,55
0.39,0.8985507246376812,69,62
0.4,0.9692307692307692,65,63
0.41,0.9333333333333333,60,56
0.42,1.0,55,55
0.43,1.0,40,40
0.44,1.0,19,19
0.45,0.9166666666666666,60,55
0.46,1.0,15,15
0.47,0.9142857142857143,70,64
0.48,0.8888888888888888,90,80
0.49,0.968421052631579,95,92
0.5,0.9777777777777777,45,44
0.51,0.984,125,123
0.52,0.96,50,48
0.53,1.0,80,80
0.54,0.9888888888888889,90,89
0.55,0.968421052631579,95,92
0.56,0.9666666666666667,60,58
0.57,0.9636363636363636,55,53
0.58,1.0,105,105
0.59,0.9882352941176471,85,84
0.6,0.9797979797979798,99,97
0.61,0.9830508474576272,59,58
0.62,1.0,15,15
0.63,0.9166666666666666,60,55
0.65,0.9529411764705882,85,81
0.66,0.96,50,48
0.67,0.8769230769230769,65,57
0.68,1.0,55,55
0.69,0.9294117647058824,85,79
0.7,0.9157894736842105,95,87
0.71,1.0,15,15
0.72,0.96,25,24
0.73,0.8666666666666667,60,52
0.74,0.9555555555555556,45,43
0.75,0.94,50,47
0.76,0.95,80,76
0.77,0.8333333333333334,30,25
0.78,0.8,35,28
0.79,0.8545454545454545,55,47
0.8,0.6857142857142857,35,24
0.81,1.0,15,15
0.82,0.95,20,19
0.83,0.64,25,16
0.85,0.7,30,21
0.86,0.9111111111111111,45,41
0.87,0.6666666666666666,30,20
0.88,0.64,50,32
0.89,0.9142857142857143,35,32
0.9,0.625,40,25
0.91,0.4,15,6
0.92,0.7714285714285715,35,27
0.93,0.6,60,36
0.95,0.9714285714285714,35,34
0.96,0.45714285714285713,35,16
0.97,0.2857142857142857,35,10
0.98,0.5166666666666667,60,31
0.99,0.7272727272727273,55,40
1.0,0.8636363636363636,110,95
