IQA,Accuracy,Count,Num_Accs
0.02,0.96,25,24
0.05,1.0,15,15
0.06,1.0,15,15
0.07,1.0,35,35
0.08,1.0,30,30
0.09,1.0,20,20
0.1,1.0,45,45
0.11,0.98,50,49
0.12,0.9833333333333333,60,59
0.13,1.0,35,35
0.14,0.96,25,24
0.15,1.0,35,35
0.16,1.0,35,35
0.17,1.0,30,30
0.19,0.96,50,48
0.2,0.96,25,24
0.21,1.0,25,25
0.22,1.0,80,80
0.23,0.92,25,23
0.24,0.95,80,76
0.25,0.9142857142857143,105,96
0.26,0.9666666666666667,90,87
0.27,0.9666666666666667,60,58
0.28,0.9090909090909091,55,50
0.29,0.9846153846153847,65,64
0.3,0.8933333333333333,75,67
0.31,1.0,50,50
0.32,0.9545454545454546,110,105
0.33,1.0,55,55
0.34,1.0,60,60
0.35,0.95,80,76
0.36,1.0,115,115
0.37,0.9714285714285714,35,34
0.38,0.968,125,121
0.39,0.97,100,97
0.4,0.9411764705882353,85,80
0.41,0.9777777777777777,135,132
0.42,0.975,80,78
0.43,0.9333333333333333,105,98
0.44,0.9692307692307692,65,63
0.45,0.9661016949152542,59,57
0.46,0.9692307692307692,65,63
0.47,0.9565217391304348,115,110
0.48,0.9888888888888889,90,89
0.49,0.9043478260869565,115,104
0.5,0.8583333333333333,120,103
0.51,0.9703703703703703,135,131
0.52,0.9636363636363636,55,53
0.53,0.9555555555555556,45,43
0.54,0.8,25,20
0.55,0.9846153846153847,65,64
0.56,0.97,100,97
0.57,1.0,80,80
0.58,0.94,50,47
0.59,1.0,60,60
0.6,0.86,100,86
0.61,0.9826086956521739,115,113
0.62,0.95,80,76
0.63,0.95,20,19
0.64,0.9882352941176471,85,84
0.65,0.94,50,47
0.67,0.82,50,41
0.68,0.9,20,18
0.69,0.9142857142857143,35,32
0.7,0.8,40,32
0.71,1.0,20,20
0.72,1.0,35,35
0.73,0.92,50,46
0.74,0.9666666666666667,30,29
0.75,0.9,30,27
0.76,1.0,30,30
0.78,0.85,40,34
0.8,0.92,25,23
0.81,1.0,20,20
0.82,0.9,30,27
0.83,0.8,20,16
