IQA,Accuracy,Count,Num_Accs
0.01,0.9636363636363636,55,53
0.02,0.9833333333333333,60,59
0.03,0.9857142857142858,70,69
0.04,0.9777777777777777,45,44
0.05,1.0,40,40
0.06,0.9714285714285714,35,34
0.08,1.0,50,50
0.09,0.95,40,38
0.1,1.0,25,25
0.11,0.9714285714285714,35,34
0.12,1.0,20,20
0.13,0.96,25,24
0.14,1.0,25,25
0.15,1.0,30,30
0.18,0.9636363636363636,55,53
0.2,1.0,20,20
0.21,1.0,30,30
0.22,1.0,60,60
0.23,1.0,20,20
0.24,0.9333333333333333,15,14
0.26,0.9666666666666667,60,58
0.27,0.9777777777777777,45,44
0.28,1.0,25,25
0.29,1.0,25,25
0.3,0.98,50,49
0.31,0.9555555555555556,45,43
0.32,1.0,35,35
0.33,1.0,20,20
0.34,1.0,30,30
0.35,1.0,25,25
0.36,0.94,50,47
0.37,1.0,30,30
0.38,0.9666666666666667,30,29
0.39,1.0,15,15
0.4,1.0,25,25
0.42,1.0,35,35
0.43,0.9428571428571428,35,33
0.44,0.9636363636363636,55,53
0.45,1.0,25,25
0.46,1.0,30,30
0.47,1.0,30,30
0.48,1.0,20,20
0.49,1.0,30,30
0.5,0.9777777777777777,45,44
0.51,0.9777777777777777,45,44
0.52,1.0,25,25
0.53,1.0,25,25
0.54,1.0,20,20
0.55,0.9714285714285714,70,68
0.56,1.0,20,20
0.57,1.0,30,30
0.58,1.0,25,25
0.59,1.0,65,65
0.6,0.9666666666666667,30,29
0.61,0.9857142857142858,70,69
0.63,0.9666666666666667,30,29
0.64,0.9142857142857143,35,32
0.65,0.9692307692307692,65,63
0.66,0.9052631578947369,95,86
0.67,0.9888888888888889,90,89
0.68,1.0,30,30
0.69,1.0,50,50
0.7,0.9714285714285714,70,68
0.71,0.9777777777777777,90,88
0.72,0.98,100,98
0.73,1.0,25,25
0.74,1.0,65,65
0.75,0.9888888888888889,90,89
0.76,0.9692307692307692,65,63
0.77,0.9666666666666667,120,116
0.78,0.9629629629629629,135,130
0.79,0.92,25,23
0.8,0.92,100,92
0.81,0.9714285714285714,70,68
0.82,0.92,50,46
0.83,0.96,50,48
0.84,0.96,50,48
0.85,0.9555555555555556,90,86
0.86,0.9130434782608695,115,105
0.87,0.9047619047619048,105,95
0.88,0.9,100,90
0.89,0.9578947368421052,95,91
0.9,0.9647058823529412,85,82
0.91,0.8785714285714286,140,123
0.92,0.92,25,23
0.93,0.8857142857142857,70,62
0.94,1.0,15,15
0.95,0.84,25,21
0.96,0.6666666666666666,15,10
