IQA,Accuracy,Count,Num_Accs
0.02,1.0,50,50
0.03,0.9538461538461539,65,62
0.04,0.99,100,99
0.05,1.0,75,75
0.06,1.0,80,80
0.07,0.9882352941176471,85,84
0.08,0.9333333333333333,60,56
0.09,1.0,65,65
0.1,0.96,75,72
0.11,0.98,100,98
0.12,0.9714285714285714,35,34
0.13,0.925,80,74
0.14,0.98,50,49
0.15,1.0,90,90
0.16,0.9454545454545454,55,52
0.17,0.9846153846153847,65,64
0.18,1.0,35,35
0.19,0.9333333333333333,60,56
0.2,0.96,100,96
0.21,1.0,45,45
0.22,0.9142857142857143,35,32
0.23,0.9545454545454546,110,105
0.24,0.8666666666666667,15,13
0.25,1.0,35,35
0.26,0.98,50,49
0.27,0.9,50,45
0.28,1.0,60,60
0.29,1.0,25,25
0.3,1.0,50,50
0.31,0.9764705882352941,85,83
0.32,0.9894736842105263,95,94
0.33,0.96,25,24
0.34,0.9764705882352941,85,83
0.35,0.8888888888888888,45,40
0.36,0.96,25,24
0.37,1.0,15,15
0.38,1.0,50,50
0.39,1.0,45,45
0.4,1.0,55,55
0.41,0.9666666666666667,60,58
0.42,0.9692307692307692,65,63
0.43,1.0,40,40
0.44,1.0,50,50
0.45,0.9666666666666667,30,29
0.46,0.86,50,43
0.47,0.9538461538461539,65,62
0.48,0.9666666666666667,30,29
0.49,0.9142857142857143,35,32
0.5,0.9777777777777777,45,44
0.51,0.8,15,12
0.52,0.9,20,18
0.53,1.0,25,25
0.54,0.8837209302325582,129,114
0.55,1.0,35,35
0.57,0.9454545454545454,55,52
0.58,1.0,40,40
0.59,0.9142857142857143,35,32
0.6,0.9857142857142858,70,69
0.61,0.9230769230769231,65,60
0.62,0.9,20,18
0.63,1.0,50,50
0.64,0.8666666666666667,45,39
0.66,0.9705882352941176,34,33
0.67,0.9666666666666667,30,29
0.68,0.95,20,19
0.71,0.92,25,23
0.73,0.9,20,18
0.74,1.0,15,15
0.75,0.9,20,18
0.76,0.98,50,49
0.77,0.96,25,24
0.78,0.8727272727272727,55,48
0.79,0.9,20,18
0.8,0.75,20,15
0.82,0.8666666666666667,75,65
0.83,0.5,20,10
0.84,0.8,20,16
0.85,1.0,25,25
0.86,0.75,40,30
0.87,0.8,35,28
0.88,0.8,30,24
0.89,0.8666666666666667,30,26
0.9,0.8666666666666667,15,13
0.92,0.725,40,29
0.93,0.3333333333333333,15,5
0.94,1.0,15,15
0.96,0.6363636363636364,55,35
0.98,0.4,25,10
0.99,1.0,25,25
