IQA,Accuracy,Count,Num_Accs
0.01,0.975,80,78
0.02,0.9866666666666667,75,74
0.04,1.0,35,35
0.05,1.0,15,15
0.1,0.9333333333333333,15,14
0.13,0.9333333333333333,15,14
0.27,1.0,30,30
0.29,1.0,45,45
0.32,1.0,15,15
0.33,1.0,35,35
0.34,1.0,15,15
0.35,0.975,40,39
0.38,0.95,40,38
0.39,0.9833333333333333,60,59
0.4,1.0,30,30
0.41,1.0,15,15
0.46,1.0,15,15
0.47,1.0,50,50
0.49,1.0,30,30
0.5,1.0,30,30
0.51,1.0,35,35
0.52,0.9714285714285714,35,34
0.53,0.9333333333333333,15,14
0.54,0.9777777777777777,45,44
0.55,0.9666666666666667,30,29
0.56,0.9333333333333333,15,14
0.57,0.95,20,19
0.58,0.9,30,27
0.59,1.0,25,25
0.6,1.0,15,15
0.61,1.0,15,15
0.62,1.0,25,25
0.64,1.0,15,15
0.65,1.0,30,30
0.68,0.9692307692307692,65,63
0.69,0.9333333333333333,15,14
0.71,0.9,20,18
0.72,1.0,45,45
0.74,0.9777777777777777,45,44
0.75,1.0,15,15
0.76,1.0,30,30
0.77,1.0,50,50
0.78,1.0,50,50
0.79,1.0,35,35
0.8,1.0,15,15
0.81,1.0,45,45
0.82,1.0,70,70
0.83,0.9636363636363636,55,53
0.84,0.9538461538461539,65,62
0.85,0.9473684210526315,95,90
0.86,0.9739130434782609,115,112
0.87,0.9789473684210527,95,93
0.88,0.9666666666666667,120,116
0.89,0.98,100,98
0.9,0.9333333333333333,195,182
0.91,0.9459459459459459,185,175
0.92,0.9483870967741935,155,147
0.93,0.9538461538461539,260,248
0.94,0.9527272727272728,275,262
0.95,0.9714285714285714,210,204
0.96,0.9638888888888889,360,347
0.97,0.9433333333333334,300,283
0.98,0.9125,80,73
0.99,0.9082474226804124,970,881
1.0,0.9245283018867925,53,49
