IQA,Accuracy,Count,Num_Accs
0.11,0.9333333333333333,15,14
0.21,0.8285714285714286,35,29
0.22,1.0,25,25
0.23,0.95,20,19
0.24,1.0,20,20
0.25,1.0,20,20
0.26,0.9,20,18
0.28,0.9333333333333333,30,28
0.31,1.0,20,20
0.32,1.0,35,35
0.33,1.0,45,45
0.34,1.0,20,20
0.36,1.0,20,20
0.38,1.0,40,40
0.4,1.0,35,35
0.41,1.0,15,15
0.42,0.96,25,24
0.43,0.88,25,22
0.44,1.0,25,25
0.45,1.0,30,30
0.46,0.9333333333333333,15,14
0.47,0.9493670886075949,79,75
0.48,1.0,15,15
0.49,1.0,30,30
0.5,0.9714285714285714,35,34
0.51,0.95,20,19
0.52,0.9666666666666667,30,29
0.53,0.96,50,48
0.54,0.9777777777777777,45,44
0.55,0.8571428571428571,35,30
0.56,0.92,25,23
0.57,0.9333333333333333,60,56
0.58,0.9230769230769231,65,60
0.59,1.0,45,45
0.6,0.9714285714285714,70,68
0.61,0.875,40,35
0.62,0.92,50,46
0.63,0.9,30,27
0.64,1.0,60,60
0.65,0.8666666666666667,60,52
0.66,0.9882352941176471,85,84
0.67,1.0,40,40
0.68,0.9857142857142858,70,69
0.69,0.9230769230769231,65,60
0.7,1.0,75,75
0.71,0.9866666666666667,75,74
0.72,0.9692307692307692,65,63
0.73,0.9326923076923077,104,97
0.74,0.9454545454545454,55,52
0.75,0.9578947368421052,95,91
0.76,0.9538461538461539,65,62
0.77,0.9555555555555556,45,43
0.78,0.9,110,99
0.79,0.9294117647058824,85,79
0.8,0.9090909090909091,99,90
0.81,0.8823529411764706,85,75
0.82,1.0,60,60
0.83,0.9875,80,79
0.84,0.9375,80,75
0.85,1.0,90,90
0.86,0.9214285714285714,140,129
0.87,0.9666666666666667,150,145
0.88,0.8428571428571429,140,118
0.89,1.0,35,35
0.9,0.7333333333333333,75,55
0.91,0.8315789473684211,95,79
0.92,0.6076923076923076,130,79
0.93,0.675,120,81
0.94,0.6105263157894737,95,58
0.95,0.7,100,70
0.96,0.7,90,63
0.97,0.6666666666666666,114,76
0.98,0.7647058823529411,85,65
0.99,0.3333333333333333,75,25
