IQA,Accuracy,Count,Num_Accs
0.01,0.9333333333333333,15,14
0.02,0.9666666666666667,30,29
0.03,1.0,20,20
0.04,0.9666666666666667,30,29
0.13,0.8666666666666667,15,13
0.15,1.0,15,15
0.25,1.0,25,25
0.26,1.0,15,15
0.27,1.0,15,15
0.28,0.96,25,24
0.3,1.0,15,15
0.35,0.9333333333333333,15,14
0.36,1.0,15,15
0.37,0.95,20,19
0.39,1.0,25,25
0.4,1.0,15,15
0.43,0.9333333333333333,45,42
0.48,1.0,15,15
0.5,0.96,25,24
0.51,0.9,20,18
0.52,0.9714285714285714,35,34
0.53,1.0,35,35
0.54,1.0,20,20
0.55,0.9666666666666667,30,29
0.56,0.92,50,46
0.57,0.9777777777777777,45,44
0.58,1.0,15,15
0.6,1.0,15,15
0.61,1.0,55,55
0.62,0.9857142857142858,70,69
0.65,1.0,45,45
0.66,0.94,50,47
0.67,1.0,70,70
0.68,1.0,30,30
0.69,0.975,80,78
0.7,0.9571428571428572,70,67
0.71,0.9777777777777777,45,44
0.72,0.9692307692307692,65,63
0.73,1.0,70,70
0.74,1.0,45,45
0.75,0.92,50,46
0.76,1.0,30,30
0.77,0.98,50,49
0.78,1.0,109,109
0.79,0.9882352941176471,85,84
0.8,0.935064935064935,154,144
0.81,0.9666666666666667,90,87
0.82,0.9733333333333334,75,73
0.83,0.95625,160,153
0.84,0.96875,160,155
0.85,0.9826086956521739,115,113
0.86,0.975,200,195
0.87,0.9846153846153847,195,192
0.88,0.9675675675675676,185,179
0.89,0.9473684210526315,285,270
0.9,0.9283582089552239,335,311
0.91,0.9692307692307692,260,252
0.92,0.9476190476190476,210,199
0.93,0.96,150,144
0.94,0.9714285714285714,35,34
0.95,0.8832054560954816,1173,1036
0.96,0.8646723646723646,702,607
0.97,0.9031007751937985,258,233
