IQA,Accuracy,Count,Num_Accs
0.01,1.0,70,70
0.02,0.95625,160,153
0.03,0.94375,160,151
0.04,0.9864864864864865,74,73
0.05,0.9833333333333333,60,59
0.06,0.992,125,124
0.07,0.9857142857142858,70,69
0.08,1.0,50,50
0.09,0.9777777777777777,45,44
0.1,0.98,50,49
0.11,1.0,45,45
0.12,1.0,45,45
0.13,1.0,25,25
0.14,0.9777777777777777,90,88
0.15,1.0,65,65
0.16,0.9894736842105263,95,94
0.17,1.0,95,95
0.18,1.0,30,30
0.19,0.9666666666666667,30,29
0.2,0.96,50,48
0.21,1.0,70,70
0.22,0.9727272727272728,110,107
0.23,0.9705882352941176,34,33
0.24,1.0,25,25
0.25,1.0,35,35
0.26,1.0,30,30
0.27,0.9923076923076923,130,129
0.28,1.0,25,25
0.29,0.9882352941176471,85,84
0.3,0.9523809523809523,105,100
0.31,0.9846153846153847,65,64
0.32,0.8956521739130435,115,103
0.33,0.9809523809523809,105,103
0.34,1.0,55,55
0.35,1.0,75,75
0.36,0.9777777777777777,45,44
0.37,1.0,50,50
0.38,1.0,110,110
0.39,0.9875,80,79
0.4,0.9857142857142858,70,69
0.41,0.9833333333333333,60,59
0.42,0.98,50,49
0.43,1.0,20,20
0.44,0.9777777777777777,45,44
0.45,0.95,100,95
0.46,1.0,50,50
0.47,0.975,40,39
0.48,1.0,30,30
0.49,0.9714285714285714,35,34
0.5,1.0,30,30
0.51,0.9777777777777777,45,44
0.52,0.95,40,38
0.53,0.9428571428571428,35,33
0.54,1.0,25,25
0.55,1.0,20,20
0.56,1.0,35,35
0.57,0.9333333333333333,45,42
0.58,1.0,40,40
0.59,0.925,40,37
0.61,1.0,15,15
0.63,1.0,20,20
0.65,0.9333333333333333,15,14
0.66,1.0,20,20
0.67,1.0,25,25
0.69,1.0,45,45
0.7,1.0,40,40
0.71,1.0,20,20
0.72,0.9714285714285714,35,34
0.73,1.0,20,20
0.74,1.0,35,35
0.75,0.975,40,39
0.76,1.0,40,40
0.78,1.0,15,15
0.81,1.0,15,15
0.82,1.0,25,25
0.83,1.0,35,35
0.84,1.0,20,20
0.86,1.0,25,25
0.87,0.98,50,49
0.88,0.9707112970711297,239,232
0.89,0.9273504273504274,234,217
0.9,0.9605263157894737,228,219
0.91,0.9569377990430622,209,200
0.92,0.896774193548387,155,139
0.93,0.989247311827957,93,92
0.94,0.9468085106382979,94,89
0.95,0.975,40,39
