IQA,Preserved,Count,Num_Pre
0.05,0.96,25,24
0.12,1.0,15,15
0.13,1.0,30,30
0.14,1.0,15,15
0.16,0.9333333333333333,15,14
0.17,0.95,20,19
0.18,1.0,20,20
0.21,0.96,25,24
0.22,1.0,20,20
0.23,1.0,15,15
0.24,1.0,15,15
0.25,1.0,30,30
0.26,1.0,25,25
0.28,1.0,20,20
0.29,1.0,25,25
0.3,0.98,50,49
0.31,1.0,15,15
0.32,1.0,15,15
0.33,0.9333333333333333,15,14
0.34,1.0,20,20
0.35,1.0,30,30
0.36,1.0,35,35
0.37,0.9888888888888889,90,89
0.38,1.0,55,55
0.39,0.9555555555555556,45,43
0.4,0.9555555555555556,45,43
0.41,0.95,40,38
0.43,1.0,25,25
0.44,1.0,14,14
0.47,0.9333333333333333,60,56
0.48,0.9571428571428572,70,67
0.49,0.9833333333333333,60,59
0.5,0.9666666666666667,30,29
0.51,0.975,80,78
0.52,0.95,40,38
0.53,1.0,65,65
0.54,0.98,50,49
0.55,0.9692307692307692,65,63
0.56,1.0,30,30
0.57,0.96,50,48
0.58,1.0,100,100
0.59,1.0,65,65
0.6,0.975,40,39
0.61,0.9743589743589743,39,38
0.63,1.0,40,40
0.65,1.0,55,55
0.66,0.92,25,23
0.67,0.9111111111111111,45,41
0.68,1.0,35,35
0.69,0.9111111111111111,45,41
0.7,0.9833333333333333,60,59
0.72,1.0,15,15
0.73,0.8666666666666667,45,39
0.74,0.9555555555555556,45,43
0.75,0.9428571428571428,35,33
0.76,0.9466666666666667,75,71
0.77,0.75,20,15
0.78,0.72,25,18
0.79,0.8444444444444444,45,38
0.8,0.7666666666666667,30,23
0.83,0.64,25,16
0.85,1.0,15,15
0.86,0.8666666666666667,30,26
0.87,0.8,20,16
0.88,0.575,40,23
0.9,0.625,40,25
0.92,0.68,25,17
0.93,0.5555555555555556,45,25
0.95,0.96,25,24
0.96,1.0,15,15
0.97,0.3333333333333333,30,10
0.98,0.52,50,26
0.99,1.0,15,15
1.0,1.0,75,75
