IQA,Preserved,Count,Num_Pre
0.02,1.0,20,20
0.07,1.0,35,35
0.09,1.0,20,20
0.1,1.0,25,25
0.11,1.0,25,25
0.12,0.98,50,49
0.13,1.0,35,35
0.15,1.0,20,20
0.17,1.0,20,20
0.19,0.95,40,38
0.21,1.0,25,25
0.22,1.0,70,70
0.23,0.9,20,18
0.24,1.0,20,20
0.25,0.9692307692307692,65,63
0.26,1.0,55,55
0.27,0.9636363636363636,55,53
0.28,1.0,45,45
0.29,1.0,35,35
0.3,0.9,70,63
0.31,1.0,30,30
0.32,1.0,65,65
0.33,1.0,25,25
0.34,1.0,35,35
0.35,0.9428571428571428,70,66
0.36,1.0,90,90
0.37,1.0,25,25
0.38,0.9555555555555556,90,86
0.39,0.9882352941176471,85,84
0.4,0.9272727272727272,55,51
0.41,0.99,100,99
0.42,0.9636363636363636,55,53
0.43,0.9692307692307692,65,63
0.44,0.96,50,48
0.45,0.9166666666666666,24,22
0.46,1.0,30,30
0.47,0.9555555555555556,90,86
0.48,0.9875,80,79
0.49,0.9176470588235294,85,78
0.5,0.8,85,68
0.51,0.9578947368421052,95,91
0.52,1.0,35,35
0.53,1.0,15,15
0.54,0.9333333333333333,15,14
0.55,0.975,40,39
0.56,0.9857142857142858,70,69
0.57,1.0,45,45
0.58,0.96,25,24
0.59,1.0,40,40
0.6,1.0,60,60
0.61,1.0,75,75
0.62,0.9571428571428572,70,67
0.63,0.95,20,19
0.64,1.0,40,40
0.65,0.9428571428571428,35,33
0.67,0.7714285714285715,35,27
0.68,0.8666666666666667,15,13
0.69,0.88,25,22
0.7,1.0,25,25
0.72,1.0,15,15
0.73,0.92,50,46
0.74,1.0,20,20
0.75,0.85,20,17
0.76,1.0,30,30
0.78,0.8333333333333334,30,25
0.82,0.85,20,17
0.83,0.7333333333333333,15,11
