IQA,Preserved,Count,Num_Pre
0.01,0.96,25,24
0.02,1.0,40,40
0.03,0.9846153846153847,65,64
0.04,1.0,25,25
0.05,1.0,35,35
0.06,1.0,15,15
0.08,1.0,45,45
0.09,0.9333333333333333,15,14
0.1,1.0,20,20
0.11,1.0,25,25
0.12,1.0,20,20
0.14,1.0,20,20
0.18,0.96,50,48
0.21,1.0,30,30
0.22,1.0,25,25
0.23,1.0,15,15
0.26,0.94,50,47
0.28,1.0,15,15
0.3,1.0,45,45
0.31,0.92,25,23
0.32,1.0,20,20
0.33,1.0,20,20
0.34,1.0,15,15
0.35,1.0,20,20
0.36,1.0,25,25
0.38,0.95,20,19
0.4,1.0,20,20
0.42,1.0,20,20
0.43,0.9666666666666667,30,29
0.44,0.975,40,39
0.45,1.0,20,20
0.46,1.0,25,25
0.5,1.0,35,35
0.52,1.0,15,15
0.55,0.9555555555555556,45,43
0.56,1.0,15,15
0.57,1.0,15,15
0.58,1.0,20,20
0.59,1.0,30,30
0.6,0.96,25,24
0.61,1.0,50,50
0.63,0.96,25,24
0.64,0.88,25,22
0.65,1.0,45,45
0.66,0.9857142857142858,70,69
0.67,0.975,40,39
0.69,1.0,30,30
0.7,0.9428571428571428,35,33
0.71,0.9857142857142858,70,69
0.72,1.0,50,50
0.73,1.0,25,25
0.74,1.0,50,50
0.75,0.975,40,39
0.76,0.975,40,39
0.77,0.9529411764705882,85,81
0.78,0.9692307692307692,65,63
0.8,0.9058823529411765,85,77
0.81,0.9636363636363636,55,53
0.82,0.975,40,39
0.83,0.9428571428571428,35,33
0.84,0.9555555555555556,45,43
0.85,1.0,65,65
0.86,1.0,105,105
0.87,0.96,75,72
0.88,0.875,80,70
0.89,0.9142857142857143,70,64
0.9,0.975,40,39
0.91,0.9,110,99
0.92,0.9,20,18
0.93,0.84,25,21
0.95,0.9,20,18
0.96,0.6666666666666666,15,10
