IQA,Preserved,Count,Num_Pre
0.02,1.0,35,35
0.03,0.9777777777777777,45,44
0.04,1.0,60,60
0.05,1.0,50,50
0.06,1.0,50,50
0.07,0.9833333333333333,60,59
0.08,0.9555555555555556,45,43
0.09,1.0,35,35
0.1,0.96,50,48
0.11,0.9555555555555556,45,43
0.12,0.96,25,24
0.13,0.9555555555555556,45,43
0.14,0.96,25,24
0.15,1.0,70,70
0.16,0.9333333333333333,30,28
0.17,0.9714285714285714,35,34
0.19,1.0,45,45
0.2,1.0,60,60
0.21,1.0,45,45
0.22,0.85,20,17
0.23,0.9375,80,75
0.24,0.8666666666666667,15,13
0.25,1.0,30,30
0.27,0.8888888888888888,45,40
0.28,1.0,45,45
0.29,1.0,25,25
0.3,1.0,25,25
0.31,0.9636363636363636,55,53
0.32,0.9866666666666667,75,74
0.33,0.95,20,19
0.34,0.7384615384615385,65,48
0.35,0.9666666666666667,30,29
0.36,0.96,25,24
0.38,1.0,30,30
0.39,1.0,30,30
0.4,1.0,40,40
0.41,0.9636363636363636,55,53
0.42,0.9777777777777777,45,44
0.43,1.0,15,15
0.44,1.0,20,20
0.45,1.0,15,15
0.46,0.925,40,37
0.47,0.9555555555555556,45,43
0.48,1.0,20,20
0.49,0.9142857142857143,35,32
0.5,1.0,25,25
0.51,0.8,15,12
0.52,0.9,20,18
0.53,1.0,20,20
0.54,1.0,85,85
0.55,1.0,20,20
0.57,0.9333333333333333,15,14
0.58,1.0,20,20
0.6,0.9833333333333333,60,59
0.61,0.9090909090909091,55,50
0.62,0.8666666666666667,15,13
0.63,1.0,40,40
0.64,0.92,25,23
0.66,0.9705882352941176,34,33
0.67,1.0,20,20
0.68,0.9333333333333333,15,14
0.71,0.92,25,23
0.73,0.8666666666666667,15,13
0.76,1.0,20,20
0.78,0.76,25,19
0.79,0.9,20,18
0.82,0.8,15,12
0.84,0.8,20,16
0.86,0.8,25,20
0.87,0.7666666666666667,30,23
0.88,0.95,20,19
0.9,0.8666666666666667,15,13
0.92,0.76,25,19
0.96,1.0,25,25
0.98,0.5,20,10
0.99,1.0,20,20
