IQA,Preserved,Count,Num_Pre
0.01,0.9846153846153847,65,64
0.02,1.0,50,50
0.04,1.0,20,20
0.13,0.9333333333333333,15,14
0.27,1.0,30,30
0.29,1.0,30,30
0.35,1.0,25,25
0.38,0.96,25,24
0.39,0.9714285714285714,35,34
0.4,1.0,25,25
0.41,1.0,15,15
0.47,1.0,25,25
0.49,1.0,30,30
0.5,1.0,15,15
0.51,1.0,25,25
0.52,0.96,25,24
0.54,1.0,35,35
0.58,0.88,25,22
0.59,1.0,15,15
0.61,1.0,15,15
0.62,1.0,25,25
0.65,1.0,25,25
0.68,0.95,20,19
0.72,1.0,15,15
0.74,1.0,20,20
0.75,1.0,15,15
0.76,1.0,20,20
0.77,1.0,35,35
0.78,1.0,35,35
0.79,1.0,25,25
0.8,1.0,15,15
0.81,1.0,45,45
0.82,1.0,20,20
0.83,0.9,20,18
0.84,0.975,40,39
0.85,0.9333333333333333,45,42
0.86,0.9764705882352941,85,83
0.87,0.9818181818181818,55,54
0.88,0.9666666666666667,30,29
0.89,0.9818181818181818,55,54
0.9,0.976,125,122
0.91,0.9846153846153847,65,64
0.92,0.968,125,121
0.93,0.9897435897435898,195,193
0.94,0.9421052631578948,190,179
0.95,0.9555555555555556,135,129
0.96,0.9675675675675676,185,179
0.97,0.9409090909090909,220,207
0.98,0.9272727272727272,55,51
0.99,0.9,600,540
1.0,0.9210526315789473,38,35
