IQA,Preserved,Count,Num_Pre
0.21,0.8333333333333334,30,25
0.22,1.0,25,25
0.26,0.9,20,18
0.28,0.8666666666666667,15,13
0.31,1.0,20,20
0.32,1.0,20,20
0.33,1.0,20,20
0.36,1.0,20,20
0.38,1.0,25,25
0.4,1.0,30,30
0.41,1.0,15,15
0.42,0.96,25,24
0.43,0.88,25,22
0.44,1.0,15,15
0.45,1.0,20,20
0.46,0.9333333333333333,15,14
0.47,0.9555555555555556,45,43
0.48,1.0,15,15
0.49,1.0,20,20
0.5,0.9714285714285714,35,34
0.53,0.9666666666666667,30,29
0.54,0.975,40,39
0.55,0.85,20,17
0.56,0.8666666666666667,15,13
0.57,0.9,20,18
0.58,0.85,20,17
0.59,1.0,25,25
0.6,0.975,40,39
0.61,0.9142857142857143,35,32
0.62,0.775,40,31
0.63,0.85,20,17
0.64,1.0,55,55
0.65,0.95,40,38
0.66,1.0,60,60
0.67,1.0,25,25
0.68,0.9818181818181818,55,54
0.69,0.8888888888888888,45,40
0.7,1.0,60,60
0.71,1.0,35,35
0.72,0.9692307692307692,65,63
0.73,0.8235294117647058,34,28
0.74,0.94,50,47
0.75,0.9428571428571428,70,66
0.76,0.94,50,47
0.77,0.95,40,38
0.78,0.8777777777777778,90,79
0.79,0.9571428571428572,70,67
0.8,0.8529411764705882,34,29
0.81,0.9272727272727272,55,51
0.82,1.0,50,50
0.83,0.9818181818181818,55,54
0.84,0.98,50,49
0.85,1.0,30,30
0.86,0.9555555555555556,90,86
0.87,0.9411764705882353,85,80
0.88,0.81,100,81
0.89,1.0,20,20
0.9,0.7333333333333333,60,44
0.91,0.8714285714285714,70,61
0.92,0.7857142857142857,70,55
0.93,0.5666666666666667,90,51
0.94,0.7,50,35
0.95,0.68,50,34
0.96,0.7818181818181819,55,43
0.97,0.6122448979591837,49,30
0.98,0.7333333333333333,75,55
0.99,0.45454545454545453,55,25
