IQA,Preserved,Count,Num_Pre
0.02,0.9666666666666667,30,29
0.03,1.0,20,20
0.04,0.95,20,19
0.13,0.8666666666666667,15,13
0.25,1.0,20,20
0.35,0.9333333333333333,15,14
0.37,0.9333333333333333,15,14
0.39,1.0,20,20
0.43,0.92,25,23
0.48,1.0,15,15
0.5,0.95,20,19
0.51,1.0,15,15
0.52,0.95,20,19
0.53,1.0,25,25
0.54,1.0,15,15
0.55,0.9333333333333333,15,14
0.56,0.88,25,22
0.57,0.9777777777777777,45,44
0.61,1.0,40,40
0.62,1.0,35,35
0.65,1.0,35,35
0.66,0.95,40,38
0.67,1.0,60,60
0.68,1.0,15,15
0.69,0.9733333333333334,75,73
0.7,0.9142857142857143,35,32
0.71,1.0,30,30
0.72,1.0,20,20
0.73,1.0,60,60
0.74,1.0,35,35
0.75,0.9142857142857143,35,32
0.76,1.0,15,15
0.77,0.9714285714285714,35,34
0.78,1.0,94,94
0.79,0.98,50,49
0.8,0.9113924050632911,79,72
0.81,0.96,75,72
0.82,0.9428571428571428,35,33
0.83,0.94,100,94
0.84,0.9727272727272728,110,107
0.85,0.9866666666666667,75,74
0.86,0.9636363636363636,110,106
0.87,0.991304347826087,115,114
0.88,0.9833333333333333,120,118
0.89,0.9619047619047619,210,202
0.9,0.932,250,233
0.91,0.9612903225806452,155,149
0.92,0.9419354838709677,155,146
0.93,0.9523809523809523,105,100
0.94,0.9714285714285714,35,34
0.95,0.868421052631579,760,660
0.96,0.862475442043222,509,439
0.97,0.8837209302325582,172,152
