IQA,Preserved,Count,Num_Pre
0.01,1.0,40,40
0.02,0.9454545454545454,110,104
0.03,0.9666666666666667,120,116
0.04,0.9714285714285714,35,34
0.05,0.9777777777777777,45,44
0.06,1.0,75,75
0.07,1.0,40,40
0.08,1.0,40,40
0.09,0.9666666666666667,30,29
0.1,0.975,40,39
0.11,1.0,40,40
0.12,1.0,15,15
0.13,1.0,25,25
0.14,1.0,55,55
0.15,1.0,35,35
0.16,1.0,50,50
0.17,1.0,65,65
0.18,1.0,20,20
0.19,0.96,25,24
0.2,1.0,25,25
0.21,1.0,30,30
0.22,0.9777777777777777,45,44
0.23,0.9655172413793104,29,28
0.24,1.0,15,15
0.25,1.0,25,25
0.26,1.0,15,15
0.27,1.0,50,50
0.28,1.0,20,20
0.29,0.98,50,49
0.3,1.0,65,65
0.31,1.0,30,30
0.32,0.9789473684210527,95,93
0.33,0.9777777777777777,90,88
0.34,1.0,35,35
0.35,1.0,25,25
0.36,1.0,35,35
0.37,1.0,35,35
0.38,1.0,95,95
0.39,1.0,60,60
0.4,0.95,20,19
0.41,0.9777777777777777,45,44
0.42,0.9777777777777777,45,44
0.43,1.0,20,20
0.44,0.975,40,39
0.45,0.9466666666666667,75,71
0.46,1.0,50,50
0.47,0.95,20,19
0.48,1.0,20,20
0.49,0.95,20,19
0.51,0.9333333333333333,15,14
0.52,0.9333333333333333,30,28
0.53,0.96,25,24
0.54,1.0,20,20
0.55,1.0,15,15
0.57,0.9142857142857143,35,32
0.58,1.0,30,30
0.63,1.0,20,20
0.65,0.9333333333333333,15,14
0.66,1.0,15,15
0.67,1.0,25,25
0.69,1.0,35,35
0.72,1.0,20,20
0.75,0.96,25,24
0.76,1.0,40,40
0.78,1.0,15,15
0.81,1.0,15,15
0.83,1.0,25,25
0.84,1.0,15,15
0.86,1.0,25,25
0.87,0.98,50,49
0.88,0.9863013698630136,146,144
0.89,0.9608938547486033,179,172
0.9,0.9615384615384616,130,125
0.91,0.9487179487179487,156,148
0.92,0.8415841584158416,101,85
0.93,0.9864864864864865,74,73
0.94,0.9333333333333333,75,70
0.95,1.0,20,20
