IQA,Accuracy,Count,Num_Accs
0.05,0.9333333333333333,15,14
0.13,1.0,30,30
0.16,1.0,12,12
0.17,0.9166666666666666,12,11
0.18,0.9333333333333333,15,14
0.19,1.0,12,12
0.2,1.0,18,18
0.21,1.0,27,27
0.22,1.0,12,12
0.23,1.0,12,12
0.24,1.0,12,12
0.25,0.9629629629629629,27,26
0.26,1.0,18,18
0.27,1.0,12,12
0.28,1.0,12,12
0.29,1.0,30,30
0.3,0.9777777777777777,45,44
0.31,1.0,17,17
0.33,0.9166666666666666,24,22
0.34,1.0,21,21
0.35,1.0,45,45
0.36,1.0,48,48
0.37,0.989247311827957,93,92
0.38,1.0,33,33
0.39,0.8780487804878049,41,36
0.4,0.9743589743589743,39,38
0.41,0.8888888888888888,36,32
0.42,1.0,33,33
0.43,1.0,24,24
0.44,1.0,11,11
0.45,0.9722222222222222,36,35
0.47,0.9285714285714286,42,39
0.48,0.8518518518518519,54,46
0.49,0.9473684210526315,57,54
0.5,0.9629629629629629,27,26
0.51,0.9733333333333334,75,73
0.52,0.9333333333333333,30,28
0.53,1.0,48,48
0.54,1.0,54,54
0.55,0.9473684210526315,57,54
0.56,0.9722222222222222,36,35
0.57,0.9696969696969697,33,32
0.58,1.0,63,63
0.59,0.9803921568627451,51,50
0.6,0.9830508474576272,59,58
0.61,1.0,35,35
0.63,0.8611111111111112,36,31
0.65,0.9803921568627451,51,50
0.66,1.0,30,30
0.67,0.8974358974358975,39,35
0.68,1.0,33,33
0.69,0.9411764705882353,51,48
0.7,0.8771929824561403,57,50
0.72,1.0,15,15
0.73,0.8611111111111112,36,31
0.74,0.9629629629629629,27,26
0.75,0.9,30,27
0.76,0.9375,48,45
0.77,0.8333333333333334,18,15
0.78,0.6666666666666666,21,14
0.79,0.9090909090909091,33,30
0.8,0.5714285714285714,21,12
0.82,0.9166666666666666,12,11
0.83,0.6,15,9
0.85,0.6666666666666666,18,12
0.86,0.9259259259259259,27,25
0.87,0.6111111111111112,18,11
0.88,0.7,30,21
0.89,0.8571428571428571,21,18
0.9,0.6666666666666666,24,16
0.92,0.7142857142857143,21,15
0.93,0.5555555555555556,36,20
0.95,0.9523809523809523,21,20
0.96,0.47619047619047616,21,10
0.97,0.19047619047619047,21,4
0.98,0.5833333333333334,36,21
0.99,0.696969696969697,33,23
1.0,0.8484848484848485,66,56
