IQA,Accuracy,Count,Num_Accs
0.21,0.8095238095238095,21,17
0.22,1.0,15,15
0.23,0.9166666666666666,12,11
0.24,1.0,12,12
0.25,1.0,12,12
0.26,0.9166666666666666,12,11
0.28,0.8888888888888888,18,16
0.31,1.0,12,12
0.32,1.0,21,21
0.33,1.0,27,27
0.34,1.0,12,12
0.36,1.0,12,12
0.38,1.0,24,24
0.4,1.0,21,21
0.42,1.0,15,15
0.43,0.9333333333333333,15,14
0.44,1.0,15,15
0.45,1.0,18,18
0.47,0.9361702127659575,47,44
0.49,1.0,18,18
0.5,0.9523809523809523,21,20
0.51,1.0,12,12
0.52,1.0,18,18
0.53,1.0,30,30
0.54,1.0,27,27
0.55,0.8571428571428571,21,18
0.56,0.9333333333333333,15,14
0.57,0.9722222222222222,36,35
0.58,0.9487179487179487,39,37
0.59,1.0,27,27
0.6,0.9761904761904762,42,41
0.61,0.9166666666666666,24,22
0.62,0.9333333333333333,30,28
0.63,0.8888888888888888,18,16
0.64,1.0,36,36
0.65,0.8888888888888888,36,32
0.66,1.0,51,51
0.67,1.0,24,24
0.68,0.9761904761904762,42,41
0.69,0.9743589743589743,39,38
0.7,1.0,45,45
0.71,1.0,45,45
0.72,1.0,39,39
0.73,0.9354838709677419,62,58
0.74,0.9696969696969697,33,32
0.75,0.9649122807017544,57,55
0.76,1.0,39,39
0.77,0.9629629629629629,27,26
0.78,0.8939393939393939,66,59
0.79,0.9215686274509803,51,47
0.8,0.9491525423728814,59,56
0.81,0.9019607843137255,51,46
0.82,1.0,36,36
0.83,0.9791666666666666,48,47
0.84,0.9375,48,45
0.85,1.0,54,54
0.86,0.9642857142857143,84,81
0.87,0.9444444444444444,90,85
0.88,0.8571428571428571,84,72
0.89,1.0,21,21
0.9,0.7333333333333333,45,33
0.91,0.8421052631578947,57,48
0.92,0.6025641025641025,78,47
0.93,0.625,72,45
0.94,0.6666666666666666,57,38
0.95,0.6166666666666667,60,37
0.96,0.6666666666666666,54,36
0.97,0.7058823529411765,68,48
0.98,0.7647058823529411,51,39
0.99,0.3333333333333333,45,15
