IQA,Accuracy,Count,Num_Accs
0.02,0.9444444444444444,18,17
0.03,1.0,12,12
0.04,0.9444444444444444,18,17
0.25,1.0,15,15
0.28,0.9333333333333333,15,14
0.37,1.0,12,12
0.39,1.0,15,15
0.43,0.9629629629629629,27,26
0.5,0.9333333333333333,15,14
0.51,0.8333333333333334,12,10
0.52,0.9523809523809523,21,20
0.53,1.0,21,21
0.54,1.0,12,12
0.55,0.9444444444444444,18,17
0.56,0.9,30,27
0.57,1.0,27,27
0.61,1.0,33,33
0.62,0.9761904761904762,42,41
0.65,1.0,27,27
0.66,1.0,30,30
0.67,1.0,42,42
0.68,1.0,18,18
0.69,0.9583333333333334,48,46
0.7,0.9761904761904762,42,41
0.71,0.9629629629629629,27,26
0.72,0.9743589743589743,39,38
0.73,1.0,42,42
0.74,1.0,27,27
0.75,0.9,30,27
0.76,1.0,18,18
0.77,0.9666666666666667,30,29
0.78,1.0,65,65
0.79,0.9803921568627451,51,50
0.8,0.9347826086956522,92,86
0.81,1.0,54,54
0.82,0.9777777777777777,45,44
0.83,0.9479166666666666,96,91
0.84,0.9479166666666666,96,91
0.85,1.0,69,69
0.86,0.975,120,117
0.87,0.9914529914529915,117,116
0.88,0.963963963963964,111,107
0.89,0.9532163742690059,171,163
0.9,0.945273631840796,201,190
0.91,0.967948717948718,156,151
0.92,0.9603174603174603,126,121
0.93,0.9555555555555556,90,86
0.94,0.9523809523809523,21,20
0.95,0.8847795163584637,703,622
0.96,0.8764845605700713,421,369
0.97,0.935064935064935,154,144
