IQA,Accuracy,Count,Num_Accs
0.01,1.0,42,42
0.02,0.9583333333333334,96,92
0.03,0.9479166666666666,96,91
0.04,0.9772727272727273,44,43
0.05,0.9722222222222222,36,35
0.06,1.0,75,75
0.07,0.9761904761904762,42,41
0.08,1.0,30,30
0.09,0.9629629629629629,27,26
0.1,0.9666666666666667,30,29
0.11,1.0,27,27
0.12,1.0,27,27
0.13,1.0,15,15
0.14,0.9629629629629629,54,52
0.15,1.0,39,39
0.16,0.9824561403508771,57,56
0.17,1.0,57,57
0.18,1.0,18,18
0.19,1.0,18,18
0.2,1.0,30,30
0.21,1.0,42,42
0.22,0.9848484848484849,66,65
0.23,1.0,20,20
0.24,1.0,15,15
0.25,1.0,21,21
0.26,1.0,18,18
0.27,0.9871794871794872,78,77
0.28,1.0,15,15
0.29,0.9803921568627451,51,50
0.3,0.9523809523809523,63,60
0.31,0.9743589743589743,39,38
0.32,0.8695652173913043,69,60
0.33,0.9841269841269841,63,62
0.34,1.0,33,33
0.35,1.0,45,45
0.36,0.9629629629629629,27,26
0.37,1.0,30,30
0.38,1.0,66,66
0.39,1.0,48,48
0.4,0.9761904761904762,42,41
0.41,0.9722222222222222,36,35
0.42,0.9666666666666667,30,29
0.43,1.0,12,12
0.44,0.9629629629629629,27,26
0.45,0.95,60,57
0.46,1.0,30,30
0.47,1.0,24,24
0.48,1.0,18,18
0.49,0.9523809523809523,21,20
0.5,1.0,18,18
0.51,1.0,27,27
0.52,0.9583333333333334,24,23
0.53,0.9523809523809523,21,20
0.54,1.0,15,15
0.55,1.0,12,12
0.56,1.0,21,21
0.57,1.0,27,27
0.58,1.0,24,24
0.59,0.9166666666666666,24,22
0.63,1.0,12,12
0.66,1.0,12,12
0.67,1.0,15,15
0.69,1.0,27,27
0.7,1.0,24,24
0.71,1.0,12,12
0.72,1.0,21,21
0.73,1.0,12,12
0.74,1.0,21,21
0.75,1.0,24,24
0.76,1.0,24,24
0.82,1.0,15,15
0.83,1.0,21,21
0.84,1.0,12,12
0.86,1.0,15,15
0.87,1.0,30,30
0.88,0.972027972027972,143,139
0.89,0.9571428571428572,140,134
0.9,0.9558823529411765,136,130
0.91,0.952,125,119
0.92,0.8924731182795699,93,83
0.93,1.0,55,55
0.94,0.9642857142857143,56,54
0.95,0.9583333333333334,24,23
