IQA,Preserved,Count,Num_Pre
0.01,1.0,36,36
0.02,0.9595959595959596,99,95
0.03,0.9629629629629629,108,104
0.04,0.967741935483871,31,30
0.05,0.975,40,39
0.06,1.0,67,67
0.07,1.0,36,36
0.08,1.0,36,36
0.09,0.9629629629629629,27,26
0.1,0.9722222222222222,36,35
0.11,1.0,36,36
0.12,1.0,13,13
0.13,1.0,22,22
0.14,1.0,49,49
0.15,1.0,31,31
0.16,1.0,45,45
0.17,1.0,58,58
0.18,1.0,18,18
0.19,0.9545454545454546,22,21
0.2,1.0,22,22
0.21,1.0,27,27
0.22,0.975,40,39
0.23,0.9615384615384616,26,25
0.24,1.0,13,13
0.25,1.0,22,22
0.26,1.0,13,13
0.27,1.0,45,45
0.28,1.0,18,18
0.29,0.9777777777777777,45,44
0.3,1.0,58,58
0.31,1.0,27,27
0.32,0.9764705882352941,85,83
0.33,0.9753086419753086,81,79
0.34,1.0,31,31
0.35,1.0,22,22
0.36,1.0,31,31
0.37,1.0,31,31
0.38,1.0,85,85
0.39,1.0,54,54
0.4,0.9444444444444444,18,17
0.41,1.0,40,40
0.42,0.975,40,39
0.43,1.0,18,18
0.44,0.9722222222222222,36,35
0.45,0.9402985074626866,67,63
0.46,1.0,45,45
0.47,0.9444444444444444,18,17
0.48,1.0,18,18
0.49,0.9444444444444444,18,17
0.51,0.9230769230769231,13,12
0.52,0.9259259259259259,27,25
0.53,0.9545454545454546,22,21
0.54,1.0,18,18
0.55,1.0,13,13
0.57,0.9032258064516129,31,28
0.58,1.0,27,27
0.63,1.0,18,18
0.65,0.9230769230769231,13,12
0.66,1.0,13,13
0.67,1.0,22,22
0.69,1.0,31,31
0.72,1.0,18,18
0.75,0.9545454545454546,22,21
0.76,1.0,36,36
0.78,1.0,13,13
0.81,1.0,13,13
0.83,1.0,22,22
0.84,1.0,13,13
0.86,1.0,22,22
0.87,0.9777777777777777,45,44
0.88,0.9923664122137404,131,130
0.89,0.9627329192546584,161,155
0.9,0.9658119658119658,117,113
0.91,0.9428571428571428,140,132
0.92,0.8222222222222222,90,74
0.93,0.9848484848484849,66,65
0.94,0.9253731343283582,67,62
0.95,1.0,18,18
