IQA,Accuracy,Count,Num_Accs
0.02,0.9333333333333333,15,14
0.07,1.0,21,21
0.08,1.0,18,18
0.09,1.0,12,12
0.1,1.0,27,27
0.11,1.0,30,30
0.12,0.9722222222222222,36,35
0.13,1.0,21,21
0.14,0.9333333333333333,15,14
0.15,1.0,21,21
0.16,1.0,21,21
0.17,1.0,18,18
0.19,0.9333333333333333,30,28
0.2,0.9333333333333333,15,14
0.21,1.0,15,15
0.22,1.0,48,48
0.23,1.0,15,15
0.24,0.9375,48,45
0.25,0.9365079365079365,63,59
0.26,0.9814814814814815,54,53
0.27,0.9722222222222222,36,35
0.28,0.9090909090909091,33,30
0.29,1.0,39,39
0.3,0.8444444444444444,45,38
0.31,1.0,30,30
0.32,0.9545454545454546,66,63
0.33,1.0,33,33
0.34,1.0,36,36
0.35,0.9583333333333334,48,46
0.36,1.0,69,69
0.37,0.9523809523809523,21,20
0.38,1.0,75,75
0.39,0.9833333333333333,60,59
0.4,0.9411764705882353,51,48
0.41,0.9753086419753086,81,79
0.42,0.9791666666666666,48,47
0.43,0.9206349206349206,63,58
0.44,1.0,39,39
0.45,0.9714285714285714,35,34
0.46,0.9743589743589743,39,38
0.47,0.9710144927536232,69,67
0.48,1.0,54,54
0.49,0.9130434782608695,69,63
0.5,0.875,72,63
0.51,0.9753086419753086,81,79
0.52,0.9696969696969697,33,32
0.53,0.9629629629629629,27,26
0.54,0.8,15,12
0.55,1.0,39,39
0.56,1.0,60,60
0.57,1.0,48,48
0.58,0.9333333333333333,30,28
0.59,1.0,36,36
0.6,0.8333333333333334,60,50
0.61,0.9855072463768116,69,68
0.62,0.9583333333333334,48,46
0.63,1.0,12,12
0.64,0.9803921568627451,51,50
0.65,0.9,30,27
0.67,0.8,30,24
0.68,0.8333333333333334,12,10
0.69,0.9047619047619048,21,19
0.7,0.7916666666666666,24,19
0.71,1.0,12,12
0.72,1.0,21,21
0.73,0.8666666666666667,30,26
0.74,0.9444444444444444,18,17
0.75,0.8888888888888888,18,16
0.76,1.0,18,18
0.78,0.8333333333333334,24,20
0.8,0.9333333333333333,15,14
0.81,1.0,12,12
0.82,0.8888888888888888,18,16
0.83,0.6666666666666666,12,8
