IQA,Accuracy,Count,Num_Accs
0.01,0.9393939393939394,33,31
0.02,0.9722222222222222,36,35
0.03,1.0,42,42
0.04,1.0,27,27
0.05,1.0,24,24
0.06,1.0,21,21
0.08,1.0,30,30
0.09,0.9583333333333334,24,23
0.1,1.0,15,15
0.11,0.9523809523809523,21,20
0.12,1.0,12,12
0.13,0.9333333333333333,15,14
0.14,1.0,15,15
0.15,1.0,18,18
0.18,0.9696969696969697,33,32
0.2,1.0,12,12
0.21,1.0,18,18
0.22,1.0,36,36
0.23,1.0,12,12
0.26,1.0,36,36
0.27,1.0,27,27
0.28,1.0,15,15
0.29,1.0,15,15
0.3,1.0,30,30
0.31,0.9629629629629629,27,26
0.32,1.0,21,21
0.33,1.0,12,12
0.34,1.0,18,18
0.35,1.0,15,15
0.36,0.9,30,27
0.37,1.0,18,18
0.38,0.9444444444444444,18,17
0.4,1.0,15,15
0.42,1.0,21,21
0.43,0.9523809523809523,21,20
0.44,1.0,33,33
0.45,1.0,15,15
0.46,1.0,18,18
0.47,1.0,18,18
0.48,1.0,12,12
0.49,1.0,18,18
0.5,1.0,27,27
0.51,1.0,27,27
0.52,1.0,15,15
0.53,1.0,15,15
0.54,1.0,12,12
0.55,0.9523809523809523,42,40
0.56,1.0,12,12
0.57,1.0,18,18
0.58,1.0,15,15
0.59,1.0,39,39
0.6,1.0,18,18
0.61,0.9761904761904762,42,41
0.63,1.0,18,18
0.64,0.9047619047619048,21,19
0.65,1.0,39,39
0.66,0.8771929824561403,57,50
0.67,0.9814814814814815,54,53
0.68,1.0,18,18
0.69,1.0,30,30
0.7,1.0,42,42
0.71,0.9814814814814815,54,53
0.72,0.9666666666666667,60,58
0.73,1.0,15,15
0.74,1.0,39,39
0.75,1.0,54,54
0.76,0.9487179487179487,39,37
0.77,0.9583333333333334,72,69
0.78,0.9753086419753086,81,79
0.79,0.9333333333333333,15,14
0.8,0.9333333333333333,60,56
0.81,0.9761904761904762,42,41
0.82,0.9666666666666667,30,29
0.83,0.9666666666666667,30,29
0.84,0.9666666666666667,30,29
0.85,0.9259259259259259,54,50
0.86,0.927536231884058,69,64
0.87,0.9047619047619048,63,57
0.88,0.9,60,54
0.89,0.9473684210526315,57,54
0.9,0.9803921568627451,51,50
0.91,0.8928571428571429,84,75
0.92,0.9333333333333333,15,14
0.93,0.8571428571428571,42,36
0.95,0.8666666666666667,15,13
