IQA,Accuracy,Count,Num_Accs
0.01,0.9791666666666666,48,47
0.02,0.9777777777777777,45,44
0.04,1.0,21,21
0.27,1.0,18,18
0.29,1.0,27,27
0.33,1.0,21,21
0.35,0.9583333333333334,24,23
0.38,0.9583333333333334,24,23
0.39,0.9722222222222222,36,35
0.4,1.0,18,18
0.47,1.0,30,30
0.49,1.0,18,18
0.5,1.0,18,18
0.51,1.0,21,21
0.52,1.0,21,21
0.54,0.9629629629629629,27,26
0.55,1.0,18,18
0.57,0.9166666666666666,12,11
0.58,0.8888888888888888,18,16
0.59,1.0,15,15
0.62,1.0,15,15
0.65,1.0,18,18
0.68,0.9487179487179487,39,37
0.71,1.0,12,12
0.72,1.0,27,27
0.74,1.0,27,27
0.76,1.0,18,18
0.77,1.0,30,30
0.78,1.0,30,30
0.79,1.0,21,21
0.81,1.0,27,27
0.82,1.0,42,42
0.83,0.9696969696969697,33,32
0.84,0.9743589743589743,39,38
0.85,0.9473684210526315,57,54
0.86,0.9565217391304348,69,66
0.87,0.9824561403508771,57,56
0.88,0.9861111111111112,72,71
0.89,1.0,60,60
0.9,0.9230769230769231,117,108
0.91,0.9279279279279279,111,103
0.92,0.956989247311828,93,89
0.93,0.9551282051282052,156,149
0.94,0.9454545454545454,165,156
0.95,0.9841269841269841,126,124
0.96,0.9583333333333334,216,207
0.97,0.9333333333333333,180,168
0.98,0.9166666666666666,48,44
0.99,0.9089347079037801,582,529
1.0,0.9354838709677419,31,29
