IQA,Preserved,Count,Num_Pre
0.05,0.9545454545454546,22,21
0.12,1.0,13,13
0.13,1.0,27,27
0.14,1.0,13,13
0.16,0.9230769230769231,13,12
0.17,0.9444444444444444,18,17
0.18,1.0,18,18
0.21,0.9545454545454546,22,21
0.22,1.0,18,18
0.23,1.0,13,13
0.24,1.0,13,13
0.25,1.0,27,27
0.26,1.0,22,22
0.28,1.0,18,18
0.29,1.0,22,22
0.3,0.9777777777777777,45,44
0.31,1.0,13,13
0.32,1.0,13,13
0.33,0.9230769230769231,13,12
0.34,1.0,18,18
0.35,1.0,27,27
0.36,1.0,31,31
0.37,0.9876543209876543,81,80
0.38,1.0,49,49
0.39,0.95,40,38
0.4,0.95,40,38
0.41,0.9444444444444444,36,34
0.43,1.0,22,22
0.44,1.0,12,12
0.47,0.9259259259259259,54,50
0.48,0.9523809523809523,63,60
0.49,1.0,54,54
0.5,0.9629629629629629,27,26
0.51,0.9722222222222222,72,70
0.52,0.9444444444444444,36,34
0.53,1.0,58,58
0.54,0.9777777777777777,45,44
0.55,0.9655172413793104,58,56
0.56,1.0,27,27
0.57,0.9555555555555556,45,43
0.58,1.0,90,90
0.59,1.0,58,58
0.6,0.9722222222222222,36,35
0.61,0.9714285714285714,35,34
0.63,1.0,36,36
0.65,1.0,49,49
0.66,0.9545454545454546,22,21
0.67,0.9,40,36
0.68,1.0,31,31
0.69,0.9,40,36
0.7,1.0,54,54
0.72,1.0,13,13
0.73,0.85,40,34
0.74,0.975,40,39
0.75,0.9354838709677419,31,29
0.76,0.9402985074626866,67,63
0.77,0.7777777777777778,18,14
0.78,0.6818181818181818,22,15
0.79,0.85,40,34
0.8,0.7777777777777778,27,21
0.83,0.6363636363636364,22,14
0.85,1.0,13,13
0.86,0.8888888888888888,27,24
0.87,0.8333333333333334,18,15
0.88,0.5555555555555556,36,20
0.9,0.6111111111111112,36,22
0.92,0.6818181818181818,22,15
0.93,0.525,40,21
0.95,0.9545454545454546,22,21
0.96,1.0,13,13
0.97,0.2962962962962963,27,8
0.98,0.5333333333333333,45,24
0.99,1.0,13,13
1.0,1.0,67,67
