IQA,Preserved,Count,Num_Pre
0.02,1.0,18,18
0.07,1.0,31,31
0.09,1.0,18,18
0.1,1.0,22,22
0.11,1.0,22,22
0.12,0.9777777777777777,45,44
0.13,1.0,31,31
0.15,1.0,18,18
0.17,1.0,18,18
0.19,0.9444444444444444,36,34
0.21,1.0,22,22
0.22,1.0,63,63
0.23,0.8888888888888888,18,16
0.24,1.0,18,18
0.25,0.9655172413793104,58,56
0.26,1.0,49,49
0.27,0.9591836734693877,49,47
0.28,1.0,40,40
0.29,1.0,31,31
0.3,0.9047619047619048,63,57
0.31,1.0,27,27
0.32,1.0,58,58
0.33,1.0,22,22
0.34,1.0,31,31
0.35,0.9365079365079365,63,59
0.36,1.0,81,81
0.37,1.0,22,22
0.38,0.9506172839506173,81,77
0.39,0.9868421052631579,76,75
0.4,0.9387755102040817,49,46
0.41,1.0,90,90
0.42,0.9591836734693877,49,47
0.43,0.9655172413793104,58,56
0.44,0.9555555555555556,45,43
0.45,0.9047619047619048,21,19
0.46,1.0,27,27
0.47,0.9753086419753086,81,79
0.48,1.0,72,72
0.49,0.9210526315789473,76,70
0.5,0.7763157894736842,76,59
0.51,0.9647058823529412,85,82
0.52,1.0,31,31
0.53,1.0,13,13
0.54,0.9230769230769231,13,12
0.55,1.0,36,36
0.56,0.9841269841269841,63,62
0.57,1.0,40,40
0.58,0.9545454545454546,22,21
0.59,1.0,36,36
0.6,1.0,54,54
0.61,1.0,67,67
0.62,0.9523809523809523,63,60
0.63,0.9444444444444444,18,17
0.64,1.0,36,36
0.65,0.967741935483871,31,30
0.67,0.7419354838709677,31,23
0.68,0.8461538461538461,13,11
0.69,0.9090909090909091,22,20
0.7,1.0,22,22
0.72,1.0,13,13
0.73,0.9111111111111111,45,41
0.74,1.0,18,18
0.75,0.8888888888888888,18,16
0.76,1.0,27,27
0.78,0.8148148148148148,27,22
0.82,0.9444444444444444,18,17
0.83,0.6923076923076923,13,9
