IQA,Preserved,Count,Num_Pre
0.01,1.0,22,22
0.02,1.0,36,36
0.03,0.9827586206896551,58,57
0.04,1.0,22,22
0.05,1.0,31,31
0.06,1.0,13,13
0.08,1.0,40,40
0.09,1.0,13,13
0.1,1.0,18,18
0.11,1.0,22,22
0.12,1.0,18,18
0.14,1.0,18,18
0.18,0.9777777777777777,45,44
0.21,1.0,27,27
0.22,1.0,22,22
0.23,1.0,13,13
0.26,0.9333333333333333,45,42
0.28,1.0,13,13
0.3,1.0,40,40
0.31,0.9090909090909091,22,20
0.32,1.0,18,18
0.33,1.0,18,18
0.34,1.0,13,13
0.35,1.0,18,18
0.36,1.0,22,22
0.38,0.9444444444444444,18,17
0.4,1.0,18,18
0.42,1.0,18,18
0.43,0.9629629629629629,27,26
0.44,0.9722222222222222,36,35
0.45,1.0,18,18
0.46,1.0,22,22
0.5,1.0,31,31
0.52,1.0,13,13
0.55,0.95,40,38
0.56,1.0,13,13
0.57,1.0,13,13
0.58,1.0,18,18
0.59,1.0,27,27
0.6,0.9545454545454546,22,21
0.61,1.0,45,45
0.63,0.9545454545454546,22,21
0.64,0.8636363636363636,22,19
0.65,1.0,40,40
0.66,0.9841269841269841,63,62
0.67,0.9722222222222222,36,35
0.69,1.0,27,27
0.7,0.9354838709677419,31,29
0.71,0.9841269841269841,63,62
0.72,1.0,45,45
0.73,1.0,22,22
0.74,1.0,45,45
0.75,0.9722222222222222,36,35
0.76,0.9722222222222222,36,35
0.77,0.9473684210526315,76,72
0.78,0.9655172413793104,58,56
0.8,0.8947368421052632,76,68
0.81,0.9591836734693877,49,47
0.82,0.9722222222222222,36,35
0.83,0.9354838709677419,31,29
0.84,0.975,40,39
0.85,1.0,58,58
0.86,1.0,94,94
0.87,0.9552238805970149,67,64
0.88,0.8888888888888888,72,64
0.89,0.9206349206349206,63,58
0.9,0.9722222222222222,36,35
0.91,0.898989898989899,99,89
0.92,0.9444444444444444,18,17
0.93,0.8636363636363636,22,19
0.95,0.8888888888888888,18,16
0.96,0.6923076923076923,13,9
