IQA,Preserved,Count,Num_Pre
0.01,0.9827586206896551,58,57
0.02,1.0,45,45
0.04,1.0,18,18
0.13,0.9230769230769231,13,12
0.27,1.0,27,27
0.29,1.0,27,27
0.35,1.0,22,22
0.38,0.9545454545454546,22,21
0.39,0.967741935483871,31,30
0.4,1.0,22,22
0.41,1.0,13,13
0.47,1.0,22,22
0.49,1.0,27,27
0.5,1.0,13,13
0.51,1.0,22,22
0.52,0.9545454545454546,22,21
0.54,1.0,31,31
0.58,0.8636363636363636,22,19
0.59,1.0,13,13
0.61,1.0,13,13
0.62,1.0,22,22
0.65,1.0,22,22
0.68,0.9444444444444444,18,17
0.72,1.0,13,13
0.74,1.0,18,18
0.75,1.0,13,13
0.76,1.0,18,18
0.77,1.0,31,31
0.78,1.0,31,31
0.79,1.0,22,22
0.8,1.0,13,13
0.81,1.0,40,40
0.82,1.0,18,18
0.83,0.8888888888888888,18,16
0.84,0.9722222222222222,36,35
0.85,0.925,40,37
0.86,0.9736842105263158,76,74
0.87,0.9795918367346939,49,48
0.88,0.9629629629629629,27,26
0.89,0.9795918367346939,49,48
0.9,0.9732142857142857,112,109
0.91,0.9827586206896551,58,57
0.92,0.9642857142857143,112,108
0.93,0.9885714285714285,175,173
0.94,0.9532163742690059,171,163
0.95,0.9504132231404959,121,115
0.96,0.9698795180722891,166,161
0.97,0.9444444444444444,198,187
0.98,0.9183673469387755,49,45
0.99,0.9092592592592592,540,491
1.0,0.9117647058823529,34,31
