IQA,Preserved,Count,Num_Pre
0.21,0.8148148148148148,27,22
0.22,1.0,22,22
0.26,0.9444444444444444,18,17
0.28,0.8461538461538461,13,11
0.31,1.0,18,18
0.32,1.0,18,18
0.33,1.0,18,18
0.36,1.0,18,18
0.38,1.0,22,22
0.4,1.0,27,27
0.41,1.0,13,13
0.42,0.9545454545454546,22,21
0.43,0.9090909090909091,22,20
0.44,1.0,13,13
0.45,1.0,18,18
0.46,1.0,13,13
0.47,0.95,40,38
0.48,1.0,13,13
0.49,1.0,18,18
0.5,1.0,31,31
0.53,0.9629629629629629,27,26
0.54,0.9722222222222222,36,35
0.55,0.8333333333333334,18,15
0.56,0.9230769230769231,13,12
0.57,0.8888888888888888,18,16
0.58,0.8333333333333334,18,15
0.59,1.0,22,22
0.6,0.9722222222222222,36,35
0.61,0.9032258064516129,31,28
0.62,0.8055555555555556,36,29
0.63,0.8888888888888888,18,16
0.64,1.0,49,49
0.65,0.9444444444444444,36,34
0.66,1.0,54,54
0.67,1.0,22,22
0.68,1.0,49,49
0.69,0.9,40,36
0.7,1.0,54,54
0.71,1.0,31,31
0.72,0.9655172413793104,58,56
0.73,0.8333333333333334,30,25
0.74,0.9333333333333333,45,42
0.75,0.9523809523809523,63,60
0.76,0.9555555555555556,45,43
0.77,0.9722222222222222,36,35
0.78,0.8888888888888888,81,72
0.79,0.9682539682539683,63,61
0.8,0.8333333333333334,30,25
0.81,0.9183673469387755,49,45
0.82,1.0,45,45
0.83,0.9795918367346939,49,48
0.84,0.9777777777777777,45,44
0.85,1.0,27,27
0.86,0.9629629629629629,81,78
0.87,0.9342105263157895,76,71
0.88,0.8111111111111111,90,73
0.89,1.0,18,18
0.9,0.7407407407407407,54,40
0.91,0.9047619047619048,63,57
0.92,0.7936507936507936,63,50
0.93,0.5679012345679012,81,46
0.94,0.7333333333333333,45,33
0.95,0.6444444444444445,45,29
0.96,0.7551020408163265,49,37
0.97,0.6590909090909091,44,29
0.98,0.7164179104477612,67,48
0.99,0.46938775510204084,49,23
